state_code,area_code,areatype_code,area_name
0,0,N,National
1,11500,M,"Anniston-Oxford-Jacksonville, AL"
1,12220,M,"Auburn-Opelika, AL"
1,13820,M,"Birmingham-Hoover, AL"
1,19300,M,"Daphne-Fairhope-Foley, AL"
1,19460,M,"Decatur, AL"
1,20020,M,"Dothan, AL"
1,22520,M,"Florence-Muscle Shoals, AL"
1,23460,M,"Gadsden, AL"
1,26620,M,"Huntsville, AL"
1,33660,M,"Mobile, AL"
1,33860,M,"Montgomery, AL"
1,46220,M,"Tuscaloosa, AL"
1,100000,S,Alabama
1,100001,M,Northwest Alabama nonmetropolitan area
1,100002,M,Northeast Alabama nonmetropolitan area
1,100003,M,Southwest Alabama nonmetropolitan area
1,100004,M,Southeast Alabama nonmetropolitan area
2,11260,M,"Anchorage, AK"
2,21820,M,"Fairbanks, AK"
2,200000,S,Alaska
2,200006,M,Alaska nonmetropolitan area
4,22380,M,"Flagstaff, AZ"
4,29420,M,"Lake Havasu City-Kingman, AZ"
4,38060,M,"Phoenix-Mesa-Scottsdale, AZ"
4,39140,M,"Prescott, AZ"
4,43420,M,"Sierra Vista-Douglas, AZ"
4,46060,M,"Tucson, AZ"
4,49740,M,"Yuma, AZ"
4,400000,S,Arizona
4,400001,M,Arizona nonmetropolitan area
5,22220,M,"Fayetteville-Springdale-Rogers, AR-MO"
5,22900,M,"Fort Smith, AR-OK"
5,26300,M,"Hot Springs, AR"
5,27860,M,"Jonesboro, AR"
5,30780,M,"Little Rock-North Little Rock-Conway, AR"
5,38220,M,"Pine Bluff, AR"
5,500000,S,Arkansas
5,500001,M,North Arkansas nonmetropolitan area
5,500002,M,East Arkansas nonmetropolitan area
5,500003,M,West Arkansas nonmetropolitan area
5,500004,M,South Arkansas nonmetropolitan area
6,12540,M,"Bakersfield, CA"
6,17020,M,"Chico, CA"
6,20940,M,"El Centro, CA"
6,23420,M,"Fresno, CA"
6,25260,M,"Hanford-Corcoran, CA"
6,31080,M,"Los Angeles-Long Beach-Anaheim, CA"
6,31460,M,"Madera, CA"
6,32900,M,"Merced, CA"
6,33700,M,"Modesto, CA"
6,34900,M,"Napa, CA"
6,37100,M,"Oxnard-Thousand Oaks-Ventura, CA"
6,39820,M,"Redding, CA"
6,40140,M,"Riverside-San Bernardino-Ontario, CA"
6,40900,M,"Sacramento--Roseville--Arden-Arcade, CA"
6,41500,M,"Salinas, CA"
6,41740,M,"San Diego-Carlsbad, CA"
6,41860,M,"San Francisco-Oakland-Hayward, CA"
6,41940,M,"San Jose-Sunnyvale-Santa Clara, CA"
6,42020,M,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
6,42100,M,"Santa Cruz-Watsonville, CA"
6,42200,M,"Santa Maria-Santa Barbara, CA"
6,42220,M,"Santa Rosa, CA"
6,44700,M,"Stockton-Lodi, CA"
6,46700,M,"Vallejo-Fairfield, CA"
6,47300,M,"Visalia-Porterville, CA"
6,49700,M,"Yuba City, CA"
6,600000,S,California
6,600003,M,North Coast Region of California nonmetropolitan area
6,600006,M,Eastern Sierra-Mother Lode Region of California nonmetropolitan area
6,600007,M,North Valley-Northern Mountains Region of California nonmetropolitan area
8,14500,M,"Boulder, CO"
8,17820,M,"Colorado Springs, CO"
8,19740,M,"Denver-Aurora-Lakewood, CO"
8,22660,M,"Fort Collins, CO"
8,24300,M,"Grand Junction, CO"
8,24540,M,"Greeley, CO"
8,39380,M,"Pueblo, CO"
8,800000,S,Colorado
8,800001,M,Eastern and Southern Colorado nonmetropolitan area
8,800002,M,Southwest Colorado nonmetropolitan area
8,800003,M,Northwest Colorado nonmetropolitan area
9,71950,M,"Bridgeport-Stamford-Norwalk, CT"
9,72850,M,"Danbury, CT"
9,73450,M,"Hartford-West Hartford-East Hartford, CT"
9,75700,M,"New Haven, CT"
9,76450,M,"Norwich-New London-Westerly, CT-RI"
9,78700,M,"Waterbury, CT"
9,900000,S,Connecticut
9,900001,M,Connecticut nonmetropolitan area
10,20100,M,"Dover, DE"
10,1000000,S,Delaware
11,47900,M,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
11,1100000,S,District of Columbia
12,15980,M,"Cape Coral-Fort Myers, FL"
12,18880,M,"Crestview-Fort Walton Beach-Destin, FL"
12,19660,M,"Deltona-Daytona Beach-Ormond Beach, FL"
12,23540,M,"Gainesville, FL"
12,26140,M,"Homosassa Springs, FL"
12,27260,M,"Jacksonville, FL"
12,29460,M,"Lakeland-Winter Haven, FL"
12,33100,M,"Miami-Fort Lauderdale-West Palm Beach, FL"
12,34940,M,"Naples-Immokalee-Marco Island, FL"
12,35840,M,"North Port-Sarasota-Bradenton, FL"
12,36100,M,"Ocala, FL"
12,36740,M,"Orlando-Kissimmee-Sanford, FL"
12,37340,M,"Palm Bay-Melbourne-Titusville, FL"
12,37460,M,"Panama City, FL"
12,37860,M,"Pensacola-Ferry Pass-Brent, FL"
12,38940,M,"Port St. Lucie, FL"
12,39460,M,"Punta Gorda, FL"
12,42680,M,"Sebastian-Vero Beach, FL"
12,42700,M,"Sebring, FL"
12,45220,M,"Tallahassee, FL"
12,45300,M,"Tampa-St. Petersburg-Clearwater, FL"
12,45540,M,"The Villages, FL"
12,1200000,S,Florida
12,1200003,M,South Florida nonmetropolitan area
12,1200006,M,North Florida nonmetropolitan area
13,10500,M,"Albany, GA"
13,12020,M,"Athens-Clarke County, GA"
13,12060,M,"Atlanta-Sandy Springs-Roswell, GA"
13,12260,M,"Augusta-Richmond County, GA-SC"
13,15260,M,"Brunswick, GA"
13,17980,M,"Columbus, GA-AL"
13,19140,M,"Dalton, GA"
13,23580,M,"Gainesville, GA"
13,25980,M,"Hinesville, GA"
13,31420,M,"Macon, GA"
13,40660,M,"Rome, GA"
13,42340,M,"Savannah, GA"
13,46660,M,"Valdosta, GA"
13,47580,M,"Warner Robins, GA"
13,1300000,S,Georgia
13,1300001,M,North Georgia nonmetropolitan area
13,1300002,M,Middle Georgia nonmetropolitan area
13,1300003,M,East Georgia nonmetropolitan area
13,1300004,M,South Georgia nonmetropolitan area
15,27980,M,"Kahului-Wailuku-Lahaina, HI"
15,46520,M,"Urban Honolulu, HI"
15,1500000,S,Hawaii
15,1500001,M,Hawaii / Kauai nonmetropolitan area
16,14260,M,"Boise City, ID"
16,17660,M,"Coeur d'Alene, ID"
16,26820,M,"Idaho Falls, ID"
16,30300,M,"Lewiston, ID-WA"
16,38540,M,"Pocatello, ID"
16,46300,M,"Twin Falls, ID"
16,1600000,S,Idaho
16,1600006,M,Northwestern Idaho nonmetropolitan area
16,1600007,M,Southeast-Central Idaho nonmetropolitan area
17,14010,M,"Bloomington, IL"
17,16060,M,"Carbondale-Marion, IL"
17,16580,M,"Champaign-Urbana, IL"
17,16980,M,"Chicago-Naperville-Elgin, IL-IN-WI"
17,19180,M,"Danville, IL"
17,19500,M,"Decatur, IL"
17,28100,M,"Kankakee, IL"
17,37900,M,"Peoria, IL"
17,40420,M,"Rockford, IL"
17,44100,M,"Springfield, IL"
17,1700000,S,Illinois
17,1700001,M,Northwest Illinois nonmetropolitan area
17,1700002,M,West Central Illinois nonmetropolitan area
17,1700003,M,East Central Illinois nonmetropolitan area
17,1700004,M,South Illinois nonmetropolitan area
18,14020,M,"Bloomington, IN"
18,18020,M,"Columbus, IN"
18,21140,M,"Elkhart-Goshen, IN"
18,21780,M,"Evansville, IN-KY"
18,23060,M,"Fort Wayne, IN"
18,26900,M,"Indianapolis-Carmel-Anderson, IN"
18,29020,M,"Kokomo, IN"
18,29200,M,"Lafayette-West Lafayette, IN"
18,33140,M,"Michigan City-La Porte, IN"
18,34620,M,"Muncie, IN"
18,43780,M,"South Bend-Mishawaka, IN-MI"
18,45460,M,"Terre Haute, IN"
18,1800000,S,Indiana
18,1800001,M,Northern Indiana nonmetropolitan area
18,1800002,M,Central Indiana nonmetropolitan area
18,1800003,M,Southern Indiana nonmetropolitan area
19,11180,M,"Ames, IA"
19,16300,M,"Cedar Rapids, IA"
19,19340,M,"Davenport-Moline-Rock Island, IA-IL"
19,19780,M,"Des Moines-West Des Moines, IA"
19,20220,M,"Dubuque, IA"
19,26980,M,"Iowa City, IA"
19,43580,M,"Sioux City, IA-NE-SD"
19,47940,M,"Waterloo-Cedar Falls, IA"
19,1900000,S,Iowa
19,1900001,M,Northeast Iowa nonmetropolitan area
19,1900002,M,Northwest Iowa nonmetropolitan area
19,1900003,M,Southwest Iowa nonmetropolitan area
19,1900004,M,Southeast Iowa nonmetropolitan area
20,29940,M,"Lawrence, KS"
20,31740,M,"Manhattan, KS"
20,45820,M,"Topeka, KS"
20,48620,M,"Wichita, KS"
20,2000000,S,Kansas
20,2000006,M,Kansas nonmetropolitan area
21,14540,M,"Bowling Green, KY"
21,21060,M,"Elizabethtown-Fort Knox, KY"
21,30460,M,"Lexington-Fayette, KY"
21,31140,M,"Louisville/Jefferson County, KY-IN"
21,36980,M,"Owensboro, KY"
21,2100000,S,Kentucky
21,2100001,M,West Kentucky nonmetropolitan area
21,2100002,M,South Central Kentucky nonmetropolitan area
21,2100003,M,Central Kentucky nonmetropolitan area
21,2100004,M,East Kentucky nonmetropolitan area
22,10780,M,"Alexandria, LA"
22,12940,M,"Baton Rouge, LA"
22,25220,M,"Hammond, LA"
22,26380,M,"Houma-Thibodaux, LA"
22,29180,M,"Lafayette, LA"
22,29340,M,"Lake Charles, LA"
22,33740,M,"Monroe, LA"
22,35380,M,"New Orleans-Metairie, LA"
22,43340,M,"Shreveport-Bossier City, LA"
22,2200000,S,Louisiana
22,2200002,M,Central Louisiana nonmetropolitan area
22,2200003,M,Northeast Louisiana nonmetropolitan area
22,2200006,M,Southwest Louisiana nonmetropolitan area
23,70750,M,"Bangor, ME"
23,74650,M,"Lewiston-Auburn, ME"
23,76750,M,"Portland-South Portland, ME"
23,2300000,S,Maine
23,2300001,M,Northeast Maine nonmetropolitan area
23,2300002,M,Southwest Maine nonmetropolitan area
24,12580,M,"Baltimore-Columbia-Towson, MD"
24,15680,M,"California-Lexington Park, MD"
24,19060,M,"Cumberland, MD-WV"
24,25180,M,"Hagerstown-Martinsburg, MD-WV"
24,41540,M,"Salisbury, MD-DE"
24,2400000,S,Maryland
24,2400006,M,Maryland nonmetropolitan area
25,70900,M,"Barnstable Town, MA"
25,71650,M,"Boston-Cambridge-Nashua, MA-NH"
25,74500,M,"Leominster-Gardner, MA"
25,75550,M,"New Bedford, MA"
25,76600,M,"Pittsfield, MA"
25,78100,M,"Springfield, MA-CT"
25,79600,M,"Worcester, MA-CT"
25,2500000,S,Massachusetts
25,2500006,M,Massachusetts nonmetropolitan area
26,11460,M,"Ann Arbor, MI"
26,12980,M,"Battle Creek, MI"
26,13020,M,"Bay City, MI"
26,19820,M,"Detroit-Warren-Dearborn, MI"
26,22420,M,"Flint, MI"
26,24340,M,"Grand Rapids-Wyoming, MI"
26,27100,M,"Jackson, MI"
26,28020,M,"Kalamazoo-Portage, MI"
26,29620,M,"Lansing-East Lansing, MI"
26,33220,M,"Midland, MI"
26,33780,M,"Monroe, MI"
26,34740,M,"Muskegon, MI"
26,35660,M,"Niles-Benton Harbor, MI"
26,40980,M,"Saginaw, MI"
26,2600000,S,Michigan
26,2600001,M,Upper Peninsula of Michigan nonmetropolitan area
26,2600002,M,Northeast Lower Peninsula of Michigan nonmetropolitan area
26,2600003,M,Northwest Lower Peninsula of Michigan nonmetropolitan area
26,2600004,M,Balance of Lower Peninsula of Michigan nonmetropolitan area
27,20260,M,"Duluth, MN-WI"
27,31860,M,"Mankato-North Mankato, MN"
27,33460,M,"Minneapolis-St. Paul-Bloomington, MN-WI"
27,40340,M,"Rochester, MN"
27,41060,M,"St. Cloud, MN"
27,2700000,S,Minnesota
27,2700001,M,Northwest Minnesota nonmetropolitan area
27,2700002,M,Northeast Minnesota nonmetropolitan area
27,2700003,M,Southwest Minnesota nonmetropolitan area
27,2700004,M,Southeast Minnesota nonmetropolitan area
28,25060,M,"Gulfport-Biloxi-Pascagoula, MS"
28,25620,M,"Hattiesburg, MS"
28,27140,M,"Jackson, MS"
28,2800000,S,Mississippi
28,2800001,M,Northeast Mississippi nonmetropolitan area
28,2800002,M,Northwest Mississippi nonmetropolitan area
28,2800003,M,Southeast Mississippi nonmetropolitan area
28,2800004,M,Southwest Mississippi nonmetropolitan area
29,16020,M,"Cape Girardeau, MO-IL"
29,17860,M,"Columbia, MO"
29,27620,M,"Jefferson City, MO"
29,27900,M,"Joplin, MO"
29,28140,M,"Kansas City, MO-KS"
29,41140,M,"St. Joseph, MO-KS"
29,41180,M,"St. Louis, MO-IL"
29,44180,M,"Springfield, MO"
29,2900000,S,Missouri
29,2900001,M,Central Missouri nonmetropolitan area
29,2900002,M,North Missouri nonmetropolitan area
29,2900003,M,Southeast Missouri nonmetropolitan area
29,2900004,M,Southwest Missouri nonmetropolitan area
30,13740,M,"Billings, MT"
30,24500,M,"Great Falls, MT"
30,33540,M,"Missoula, MT"
30,3000000,S,Montana
30,3000003,M,Southwest Montana nonmetropolitan area
30,3000004,M,West Montana nonmetropolitan area
30,3000006,M,East-Central Montana nonmetropolitan area
31,24260,M,"Grand Island, NE"
31,30700,M,"Lincoln, NE"
31,36540,M,"Omaha-Council Bluffs, NE-IA"
31,3100000,S,Nebraska
31,3100001,M,Northwest Nebraska nonmetropolitan area
31,3100003,M,Northeast Nebraska nonmetropolitan area
31,3100006,M,South Nebraska nonmetropolitan area
32,16180,M,"Carson City, NV"
32,29820,M,"Las Vegas-Henderson-Paradise, NV"
32,39900,M,"Reno, NV"
32,3200000,S,Nevada
32,3200006,M,Nevada nonmetropolitan area
33,73050,M,"Dover-Durham, NH-ME"
33,74950,M,"Manchester, NH"
33,76900,M,"Portsmouth, NH-ME"
33,3300000,S,New Hampshire
33,3300001,M,Northern New Hampshire nonmetropolitan area
33,3300002,M,Central New Hampshire nonmetropolitan area
33,3300006,M,West Central-Southwest New Hampshire nonmetropolitan area
34,12100,M,"Atlantic City-Hammonton, NJ"
34,36140,M,"Ocean City, NJ"
34,45940,M,"Trenton, NJ"
34,47220,M,"Vineland-Bridgeton, NJ"
34,3400000,S,New Jersey
35,10740,M,"Albuquerque, NM"
35,22140,M,"Farmington, NM"
35,29740,M,"Las Cruces, NM"
35,42140,M,"Santa Fe, NM"
35,3500000,S,New Mexico
35,3500006,M,Northern New Mexico nonmetropolitan area
35,3500007,M,Eastern New Mexico nonmetropolitan area
36,10580,M,"Albany-Schenectady-Troy, NY"
36,13780,M,"Binghamton, NY"
36,15380,M,"Buffalo-Cheektowaga-Niagara Falls, NY"
36,21300,M,"Elmira, NY"
36,24020,M,"Glens Falls, NY"
36,27060,M,"Ithaca, NY"
36,28740,M,"Kingston, NY"
36,35620,M,"New York-Newark-Jersey City, NY-NJ-PA"
36,40380,M,"Rochester, NY"
36,45060,M,"Syracuse, NY"
36,46540,M,"Utica-Rome, NY"
36,48060,M,"Watertown-Fort Drum, NY"
36,3600000,S,New York
36,3600001,M,Capital/Northern New York nonmetropolitan area
36,3600004,M,Southwest New York nonmetropolitan area
36,3600006,M,Central East New York nonmetropolitan area
37,11700,M,"Asheville, NC"
37,15500,M,"Burlington, NC"
37,16740,M,"Charlotte-Concord-Gastonia, NC-SC"
37,20500,M,"Durham-Chapel Hill, NC"
37,22180,M,"Fayetteville, NC"
37,24140,M,"Goldsboro, NC"
37,24660,M,"Greensboro-High Point, NC"
37,24780,M,"Greenville, NC"
37,25860,M,"Hickory-Lenoir-Morganton, NC"
37,27340,M,"Jacksonville, NC"
37,35100,M,"New Bern, NC"
37,39580,M,"Raleigh, NC"
37,40580,M,"Rocky Mount, NC"
37,48900,M,"Wilmington, NC"
37,49180,M,"Winston-Salem, NC"
37,3700000,S,North Carolina
37,3700001,M,Southeast Coastal North Carolina nonmetropolitan area
37,3700002,M,Northeast Coastal North Carolina nonmetropolitan area
37,3700003,M,Piedmont North Carolina nonmetropolitan area
37,3700004,M,Mountain North Carolina nonmetropolitan area
38,13900,M,"Bismarck, ND"
38,22020,M,"Fargo, ND-MN"
38,24220,M,"Grand Forks, ND-MN"
38,3800000,S,North Dakota
38,3800006,M,West North Dakota nonmetropolitan area
38,3800007,M,East North Dakota nonmetropolitan area
39,10420,M,"Akron, OH"
39,15940,M,"Canton-Massillon, OH"
39,17140,M,"Cincinnati, OH-KY-IN"
39,17460,M,"Cleveland-Elyria, OH"
39,18140,M,"Columbus, OH"
39,19380,M,"Dayton, OH"
39,30620,M,"Lima, OH"
39,31900,M,"Mansfield, OH"
39,44220,M,"Springfield, OH"
39,45780,M,"Toledo, OH"
39,49660,M,"Youngstown-Warren-Boardman, OH-PA"
39,3900000,S,Ohio
39,3900001,M,West Northwestern Ohio nonmetropolitan area
39,3900002,M,North Northeastern Ohio nonmetropolitan area
39,3900003,M,Eastern Ohio nonmetropolitan area
39,3900004,M,Southern Ohio nonmetropolitan area
40,21420,M,"Enid, OK"
40,30020,M,"Lawton, OK"
40,36420,M,"Oklahoma City, OK"
40,46140,M,"Tulsa, OK"
40,4000000,S,Oklahoma
40,4000001,M,Northeast Oklahoma nonmetropolitan area
40,4000002,M,Northwest Oklahoma nonmetropolitan area
40,4000003,M,Southwest Oklahoma nonmetropolitan area
40,4000004,M,Southeast Oklahoma nonmetropolitan area
41,10540,M,"Albany, OR"
41,13460,M,"Bend-Redmond, OR"
41,18700,M,"Corvallis, OR"
41,21660,M,"Eugene, OR"
41,24420,M,"Grants Pass, OR"
41,32780,M,"Medford, OR"
41,38900,M,"Portland-Vancouver-Hillsboro, OR-WA"
41,41420,M,"Salem, OR"
41,4100000,S,Oregon
41,4100006,M,Coast Oregon nonmetropolitan area
41,4100007,M,Central Oregon nonmetropolitan area
41,4100008,M,Eastern Oregon nonmetropolitan area
42,10900,M,"Allentown-Bethlehem-Easton, PA-NJ"
42,11020,M,"Altoona, PA"
42,14100,M,"Bloomsburg-Berwick, PA"
42,16540,M,"Chambersburg-Waynesboro, PA"
42,20700,M,"East Stroudsburg, PA"
42,21500,M,"Erie, PA"
42,23900,M,"Gettysburg, PA"
42,25420,M,"Harrisburg-Carlisle, PA"
42,27780,M,"Johnstown, PA"
42,29540,M,"Lancaster, PA"
42,30140,M,"Lebanon, PA"
42,37980,M,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
42,38300,M,"Pittsburgh, PA"
42,39740,M,"Reading, PA"
42,42540,M,"Scranton--Wilkes-Barre--Hazleton, PA"
42,44300,M,"State College, PA"
42,48700,M,"Williamsport, PA"
42,49620,M,"York-Hanover, PA"
42,4200000,S,Pennsylvania
42,4200001,M,Western Pennsylvania nonmetropolitan area
42,4200002,M,Northern Pennsylvania nonmetropolitan area
42,4200003,M,Southern Pennsylvania nonmetropolitan area
44,77200,M,"Providence-Warwick, RI-MA"
44,4400000,S,Rhode Island
45,16700,M,"Charleston-North Charleston, SC"
45,17900,M,"Columbia, SC"
45,22500,M,"Florence, SC"
45,24860,M,"Greenville-Anderson-Mauldin, SC"
45,25940,M,"Hilton Head Island-Bluffton-Beaufort, SC"
45,34820,M,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
45,43900,M,"Spartanburg, SC"
45,44940,M,"Sumter, SC"
45,4500000,S,South Carolina
45,4500002,M,Upper Savannah South Carolina nonmetropolitan area
45,4500004,M,Lower Savannah South Carolina nonmetropolitan area
45,4500006,M,Northeast South Carolina nonmetropolitan area
46,39660,M,"Rapid City, SD"
46,43620,M,"Sioux Falls, SD"
46,4600000,S,South Dakota
46,4600002,M,East South Dakota nonmetropolitan area
46,4600003,M,West South Dakota nonmetropolitan area
47,16860,M,"Chattanooga, TN-GA"
47,17300,M,"Clarksville, TN-KY"
47,17420,M,"Cleveland, TN"
47,27180,M,"Jackson, TN"
47,27740,M,"Johnson City, TN"
47,28700,M,"Kingsport-Bristol-Bristol, TN-VA"
47,28940,M,"Knoxville, TN"
47,32820,M,"Memphis, TN-MS-AR"
47,34100,M,"Morristown, TN"
47,34980,M,"Nashville-Davidson--Murfreesboro--Franklin, TN"
47,4700000,S,Tennessee
47,4700001,M,West Tennessee nonmetropolitan area
47,4700002,M,South Central Tennessee nonmetropolitan area
47,4700003,M,North Central Tennessee nonmetropolitan area
47,4700004,M,East Tennessee nonmetropolitan area
48,10180,M,"Abilene, TX"
48,11100,M,"Amarillo, TX"
48,12420,M,"Austin-Round Rock, TX"
48,13140,M,"Beaumont-Port Arthur, TX"
48,15180,M,"Brownsville-Harlingen, TX"
48,17780,M,"College Station-Bryan, TX"
48,18580,M,"Corpus Christi, TX"
48,19100,M,"Dallas-Fort Worth-Arlington, TX"
48,21340,M,"El Paso, TX"
48,26420,M,"Houston-The Woodlands-Sugar Land, TX"
48,28660,M,"Killeen-Temple, TX"
48,29700,M,"Laredo, TX"
48,30980,M,"Longview, TX"
48,31180,M,"Lubbock, TX"
48,32580,M,"McAllen-Edinburg-Mission, TX"
48,33260,M,"Midland, TX"
48,36220,M,"Odessa, TX"
48,41660,M,"San Angelo, TX"
48,41700,M,"San Antonio-New Braunfels, TX"
48,43300,M,"Sherman-Denison, TX"
48,45500,M,"Texarkana, TX-AR"
48,46340,M,"Tyler, TX"
48,47020,M,"Victoria, TX"
48,47380,M,"Waco, TX"
48,48660,M,"Wichita Falls, TX"
48,4800000,S,Texas
48,4800001,M,West Texas Region of Texas nonmetropolitan area
48,4800002,M,North Texas Region of Texas nonmetropolitan area
48,4800003,M,Big Thicket Region of Texas nonmetropolitan area
48,4800004,M,Hill Country Region of Texas nonmetropolitan area
48,4800005,M,Border Region of Texas nonmetropolitan area
48,4800006,M,Coastal Plains Region of Texas nonmetropolitan area
49,30860,M,"Logan, UT-ID"
49,36260,M,"Ogden-Clearfield, UT"
49,39340,M,"Provo-Orem, UT"
49,41100,M,"St. George, UT"
49,41620,M,"Salt Lake City, UT"
49,4900000,S,Utah
49,4900006,M,Eastern Utah nonmetropolitan area
49,4900007,M,Central Utah nonmetropolitan area
50,72400,M,"Burlington-South Burlington, VT"
50,5000000,S,Vermont
50,5000001,M,Southern Vermont nonmetropolitan area
50,5000002,M,Northern Vermont nonmetropolitan area
51,13980,M,"Blacksburg-Christiansburg-Radford, VA"
51,16820,M,"Charlottesville, VA"
51,25500,M,"Harrisonburg, VA"
51,31340,M,"Lynchburg, VA"
51,40060,M,"Richmond, VA"
51,40220,M,"Roanoke, VA"
51,44420,M,"Staunton-Waynesboro, VA"
51,47260,M,"Virginia Beach-Norfolk-Newport News, VA-NC"
51,49020,M,"Winchester, VA-WV"
51,5100000,S,Virginia
51,5100001,M,Southwest Virginia nonmetropolitan area
51,5100002,M,Southside Virginia nonmetropolitan area
51,5100003,M,Northeast Virginia nonmetropolitan area
51,5100004,M,Northwest Virginia nonmetropolitan area
53,13380,M,"Bellingham, WA"
53,14740,M,"Bremerton-Silverdale, WA"
53,28420,M,"Kennewick-Richland, WA"
53,31020,M,"Longview, WA"
53,34580,M,"Mount Vernon-Anacortes, WA"
53,36500,M,"Olympia-Tumwater, WA"
53,42660,M,"Seattle-Tacoma-Bellevue, WA"
53,44060,M,"Spokane-Spokane Valley, WA"
53,47460,M,"Walla Walla, WA"
53,48300,M,"Wenatchee, WA"
53,49420,M,"Yakima, WA"
53,5300000,S,Washington
53,5300006,M,Western Washington nonmetropolitan area
53,5300007,M,Eastern Washington nonmetropolitan area
54,13220,M,"Beckley, WV"
54,16620,M,"Charleston, WV"
54,26580,M,"Huntington-Ashland, WV-KY-OH"
54,34060,M,"Morgantown, WV"
54,37620,M,"Parkersburg-Vienna, WV"
54,48260,M,"Weirton-Steubenville, WV-OH"
54,48540,M,"Wheeling, WV-OH"
54,5400000,S,West Virginia
54,5400001,M,Southern West Virginia nonmetropolitan area
54,5400002,M,Northern West Virginia nonmetropolitan area
55,11540,M,"Appleton, WI"
55,20740,M,"Eau Claire, WI"
55,22540,M,"Fond du Lac, WI"
55,24580,M,"Green Bay, WI"
55,27500,M,"Janesville-Beloit, WI"
55,29100,M,"La Crosse-Onalaska, WI-MN"
55,31540,M,"Madison, WI"
55,33340,M,"Milwaukee-Waukesha-West Allis, WI"
55,36780,M,"Oshkosh-Neenah, WI"
55,39540,M,"Racine, WI"
55,43100,M,"Sheboygan, WI"
55,48140,M,"Wausau, WI"
55,5500000,S,Wisconsin
55,5500001,M,Northwestern Wisconsin nonmetropolitan area
55,5500002,M,Northeastern Wisconsin nonmetropolitan area
55,5500003,M,South Central Wisconsin nonmetropolitan area
55,5500004,M,Western Wisconsin nonmetropolitan area
56,16220,M,"Casper, WY"
56,16940,M,"Cheyenne, WY"
56,5600000,S,Wyoming
56,5600006,M,Western Wyoming nonmetropolitan area
56,5600007,M,Eastern Wyoming nonmetropolitan area
66,6600000,S,Guam
72,10380,M,"Aguadilla-Isabela, PR"
72,11640,M,"Arecibo, PR"
72,25020,M,"Guayama, PR"
72,32420,M,"Mayaguez, PR"
72,38660,M,"Ponce, PR"
72,41900,M,"San German, PR"
72,41980,M,"San Juan-Carolina-Caguas, PR"
72,7200000,S,Puerto Rico
72,7200006,M,Puerto Rico nonmetropolitan area
78,7800000,S,Virgin Islands
